"","Point","Method","Strike","Value"
"124","5Y5Y","MARKET",0.08,0.2999
"125","5Y5Y","MARKET",0.09,0.3006
"126","5Y5Y","MARKET",0.1,0.3019
"127","6M1Y","ATM",0.0299,0.424173550511199
"128","6M1Y","ATM",0.01,0.748239640170919
"129","6M1Y","ATM",0.015,0.613854241985928
"130","6M1Y","ATM",0.02,0.523436182184351
"131","6M1Y","ATM",0.025,0.461808308063323
"132","6M1Y","ATM",0.03,0.42361667988432
"133","6M1Y","ATM",0.035,0.404956241751448
"134","6M1Y","ATM",0.04,0.40021882264897
"135","6M1Y","ATM",0.05,0.410960776232287
"136","6M1Y","ATM",0.06,0.429707364155178
"137","6M1Y","ATM",0.07,0.448661279693115
"138","6M1Y","ATM",0.08,0.466029980108197
"139","6M1Y","ATM",0.09,0.481567744499561
"140","6M1Y","ATM",0.1,0.495416757574182
"141","6M1Y","FULL",0.0299,0.425548400225641
"142","6M1Y","FULL",0.01,0.748022079302669
"143","6M1Y","FULL",0.015,0.61420188718828
"144","6M1Y","FULL",0.02,0.524252190036633
"145","6M1Y","FULL",0.025,0.462991219064855
"146","6M1Y","FULL",0.03,0.4249932147784
"147","6M1Y","FULL",0.035,0.40630458597459
"148","6M1Y","FULL",0.04,0.401381392257435
"149","6M1Y","FULL",0.05,0.411655200536542
"150","6M1Y","FULL",0.06,0.430023442170855
"151","6M1Y","FULL",0.07,0.448695265518942
"152","6M1Y","FULL",0.08,0.465846915370919
"153","6M1Y","FULL",0.09,0.481211070796537
"154","6M1Y","FULL",0.1,0.494916721687396
"155","6M1Y","MARKET",0.0299,0.4243
"156","6M1Y","MARKET",0.01,0.7613
"157","6M1Y","MARKET",0.015,0.6082
"158","6M1Y","MARKET",0.02,0.5143
"159","6M1Y","MARKET",0.025,0.4562
"160","6M1Y","MARKET",0.03,0.4241
"161","6M1Y","MARKET",0.035,0.4104
"162","6M1Y","MARKET",0.04,0.4081
"163","6M1Y","MARKET",0.05,0.4182
"164","6M1Y","MARKET",0.06,0.4338
"165","6M1Y","MARKET",0.07,0.4495
"166","6M1Y","MARKET",0.08,0.4639
"167","6M1Y","MARKET",0.09,0.477
"168","6M1Y","MARKET",0.1,0.4887
